月,日,第n週,曜[日月火水木金土],名称,開始年(UNIXstart1970=S45),終了年,(あれば)備考
1,1,,,元日,,
1,15,,,成人の日,,1999
1,0,2,1,成人の日,2000,
2,11,,,建国記念の日,1967,
2,23,,,天皇誕生日,2020,
4,29,,,天皇誕生日,,1988
4,29,,,みどりの日,1989,2006
4,29,,,昭和の日,2007,
5,3,,,憲法記念日,,
5,4,,,みどりの日,2007,
5,5,,,こどもの日,,
7,20,,,海の日,1996,2002
7,0,3,1,海の日,2003,
8,11,,,山の日,2016,
9,15,,,敬老の日,1966,2002
9,0,3,1,敬老の日,2003,
10,10,,,体育の日,1966,1999
10,0,2,1,体育の日,2000,2019
7,24,,,スポーツの日,2020,,東京五輪特例
10,0,2,1,スポーツの日,2021,
11,3,,,文化の日,,
11,23,,,勤労感謝の日,,
12,23,,,天皇誕生日,1989,2018
5,1,,,即位の日,2019,2019,令和改元
10,22,,,即位礼正殿の儀,2019,2019,令和改元